,loan_amnt,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,recoveries,collection_recovery_fee,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,executive,senior,emp_length_yrs,term_yrs,bad_loan,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,sub_grade_A1,sub_grade_A2,sub_grade_A3,sub_grade_A4,sub_grade_A5,sub_grade_B1,sub_grade_B2,sub_grade_B3,sub_grade_B4,sub_grade_B5,sub_grade_C1,sub_grade_C2,sub_grade_C3,sub_grade_C4,sub_grade_C5,sub_grade_D1,sub_grade_D2,sub_grade_D3,sub_grade_D4,sub_grade_D5,sub_grade_E1,sub_grade_E2,sub_grade_E3,sub_grade_E4,sub_grade_E5,sub_grade_F1,sub_grade_F2,sub_grade_F3,sub_grade_F4,sub_grade_F5,sub_grade_G1,sub_grade_G2,sub_grade_G3,sub_grade_G4,sub_grade_G5,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,purpose_car,purpose_credit_card,purpose_debt_consolidation,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding,verification_status_Not Verified,verification_status_Source Verified,verification_status_Verified,pymnt_plan_n,pymnt_plan_y,application_type_INDIVIDUAL,application_type_JOINT
163422,5000.0,6.62,52967.88,15.56,0.0,2.0,8.0,0.0,5129.0,19.6,17.0,0.0,0.0,0.0,0.0,0.0,225290.0,26200.0,0,0,2,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
109736,4450.0,20.2,42500.0,30.53,2.0,4.0,8.0,0.0,3739.0,49.4,13.0,0.0,0.0,0.0,0.0,0.0,38168.0,5300.0,0,1,5,3.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
77162,3550.0,12.12,57600.0,1.04,0.0,1.0,6.0,0.0,447.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,447.0,11200.0,0,0,1,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
180419,22000.0,14.65,70000.0,18.88,0.0,0.0,6.0,0.0,12373.0,99.0,11.0,0.0,0.0,0.0,0.0,0.0,41526.0,12500.0,0,0,4,3.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
160695,7800.0,19.22,60000.0,20.46,0.0,3.0,13.0,0.0,6355.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,33994.0,12700.0,0,1,10,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
19718,15000.0,21.0,56000.0,21.51,0.0,0.0,13.0,0.0,20506.0,54.2,27.0,1926.17,19.2616999994,0.0,0.0,0.0,25162.0,37800.0,0,0,0,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
133443,5500.0,11.67,57000.0,11.54,0.0,0.0,6.0,0.0,7552.0,68.7,46.0,0.0,0.0,0.0,0.0,0.0,73851.0,11000.0,0,0,1,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
53862,6850.0,8.9,51000.0,28.68,0.0,0.0,8.0,0.0,14744.0,76.8,30.0,0.0,0.0,0.0,0.0,0.0,279970.0,19200.0,0,0,6,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
167412,9100.0,16.55,60000.0,34.86,0.0,1.0,8.0,0.0,29497.0,95.2,13.0,0.0,0.0,0.0,0.0,0.0,359065.0,31000.0,0,1,10,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
197379,24900.0,14.31,105000.0,14.23,0.0,1.0,9.0,0.0,37660.0,86.2,18.0,0.0,0.0,0.0,0.0,0.0,301644.0,43700.0,0,0,0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
118648,12000.0,6.03,145000.0,18.17,0.0,0.0,16.0,0.0,9219.0,21.9,35.0,0.0,0.0,0.0,0.0,0.0,434182.0,42100.0,0,1,10,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
58824,10000.0,6.62,70000.0,3.86,0.0,0.0,11.0,0.0,9762.0,10.9,35.0,0.0,0.0,0.0,0.0,0.0,136489.0,89306.0,0,0,10,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
165907,10000.0,17.57,60404.0,10.89,1.0,0.0,9.0,0.0,5818.0,64.6,20.0,0.0,0.0,0.0,0.0,0.0,595564.0,9000.0,0,0,7,5.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
72142,12575.0,14.33,67000.0,16.96,0.0,1.0,10.0,0.0,11489.0,87.0,13.0,0.0,0.0,0.0,0.0,0.0,15993.0,13200.0,0,0,9,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
128134,11000.0,8.39,120000.0,17.33,2.0,1.0,18.0,0.0,6411.0,30.0,40.0,0.0,0.0,0.0,0.0,148.0,182763.0,21400.0,0,0,10,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
44922,12375.0,13.11,53840.0,17.41,0.0,1.0,14.0,1.0,8310.0,35.5,35.0,0.0,0.0,0.0,0.0,0.0,41688.0,23400.0,0,0,10,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
