,Name,Address,Type,Built,Beds,Bath,Sqft,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
1,,"590 1st Ave S Apt 603, Seattle, WA 98104",Single Family Home,2014.0,1,1.0,636.0,5,5.4,2650.0,684990.0,0,2,2195.0
2,,"2726 Franklin Ave E 2726 Franklin Ave E, Seattle, WA 98102",Apartment,2014.0,1,1.0,740.0,4,7.5,2650.0,684990.0,1,0,1595.0
3,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,0,1.0,541.0,5,8.2,2650.0,684990.0,58,1,1658.0
4,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,694.0,5,8.2,2650.0,684990.0,58,1,1923.0
5,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,724.0,5,8.2,2650.0,684990.0,58,1,1883.0
6,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,731.0,5,8.2,2650.0,684990.0,58,1,1983.0
7,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,650.0,5,8.2,2650.0,684990.0,58,1,1818.0
8,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,764.0,5,8.2,2650.0,684990.0,58,1,1903.0
9,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,755.0,5,8.2,2650.0,684990.0,58,1,1858.0
10,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,680.0,5,8.2,2650.0,684990.0,58,1,1808.0
11,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,1,1.0,539.0,5,8.2,2650.0,684990.0,58,1,1605.0
12,Helix Ellipse,"4751 12th Ave NE, Seattle, WA 98105",Apartment,2006.0,2,1.0,857.0,5,8.2,2650.0,684990.0,58,1,2643.0
13,,"6705 Delridge Way SW 6705 Delridge Way SW, Seattle, WA 98106",Apartment,2014.0,1,1.0,640.0,5,4.4,2650.0,684990.0,0,0,1350.0
14,,"6705 Delridge Way SW 6705 Delridge Way SW, Seattle, WA 98106",Apartment,2014.0,1,1.0,640.0,5,4.4,2650.0,684990.0,0,0,1495.0
15,,"5450 Leary Ave NW Apt 445, Seattle, WA 98107",Other,2014.0,1,1.0,701.0,5,7.4,2650.0,684990.0,0,0,2195.0
16,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,776.0,5,8.0,2650.0,684990.0,51,0,2161.0
17,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,708.0,5,8.0,2650.0,684990.0,51,0,2199.0
18,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,540.0,5,8.0,2650.0,684990.0,51,0,1774.0
19,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,709.0,5,8.0,2650.0,684990.0,51,0,1966.0
20,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,738.0,5,8.0,2650.0,684990.0,51,0,2161.0
21,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,781.0,5,8.0,2650.0,684990.0,51,0,2199.0
22,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,649.0,5,8.0,2650.0,684990.0,51,0,1925.0
23,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,556.0,5,8.0,2650.0,684990.0,51,0,1916.0
24,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,538.0,5,8.0,2650.0,684990.0,51,0,1741.0
25,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,702.0,5,8.0,2650.0,684990.0,51,0,2146.0
26,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,556.0,5,8.0,2650.0,684990.0,51,0,1871.0
27,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,708.0,5,8.0,2650.0,684990.0,51,0,1876.0
28,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,526.0,5,8.0,2650.0,684990.0,51,0,1766.0
29,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,884.0,5,8.0,2650.0,684990.0,51,0,2011.0
30,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,525.0,5,8.0,2650.0,684990.0,51,0,2091.0
31,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,806.0,5,8.0,2650.0,684990.0,51,0,2056.0
32,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,657.0,5,8.0,2650.0,684990.0,51,0,1796.0
33,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,768.0,5,8.0,2650.0,684990.0,51,0,1996.0
34,Velo,"3635 Woodland Park Ave N, Seattle, WA 98103",Apartment,2014.0,1,1.0,704.0,5,8.0,2650.0,684990.0,51,0,1876.0
