,Address,Sqft,Beds,Bath,Type,Built,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,community_count,unit_count,Price
0,"100 Taylor Ave N, Seattle, WA 98109",538.0,0,1.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,1657.0
1,"100 Taylor Ave N, Seattle, WA 98109",671.0,1,1.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,1925.0
2,"100 Taylor Ave N, Seattle, WA 98109",695.0,1,1.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,1925.0
3,"100 Taylor Ave N, Seattle, WA 98109",724.0,1,1.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,1918.0
4,"100 Taylor Ave N, Seattle, WA 98109",1120.0,2,2.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,2623.0
5,"100 Taylor Ave N, Seattle, WA 98109",1222.0,2,2.0,Apartment,2009.0,4,6.25,2650.0,684990.0,19,1,3019.0
6,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",390.0,0,1.0,Apartment,2014.0,4,3.25,2650.0,684990.0,1,0,1325.0
7,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",524.0,1,1.0,Apartment,2014.0,4,3.25,2650.0,684990.0,1,0,1545.0
8,"1019 E Pike St 1019 E Pike St, Seattle, WA 98122",600.0,1,1.0,Apartment,2014.0,4,3.25,2650.0,684990.0,1,0,1725.0
9,"10305 Midvale Ave N Unit B, Seattle, WA 98133",1330.0,3,2.0,Condo/Townhome/Row Home/Co-Op,2014.0,3,4.67,2650.0,684990.0,1,1,2300.0
10,"10306 Fischer Pl NE, Seattle, WA 98125",1200.0,2,1.0,Other,2014.0,5,6.6,2650.0,684990.0,0,0,2495.0
11,"105 Warren Ave N, Seattle, WA 98109",696.0,1,1.0,Apartment,2017.0,4,8.5,2650.0,684990.0,28,1,2296.0
12,"105 Warren Ave N, Seattle, WA 98109",733.0,1,1.0,Apartment,2017.0,4,8.5,2650.0,684990.0,28,1,2411.0
13,"105 Warren Ave N, Seattle, WA 98109",893.0,1,1.0,Apartment,2017.0,4,8.5,2650.0,684990.0,28,1,3160.0
14,"105 Warren Ave N, Seattle, WA 98109",988.0,1,1.0,Apartment,2017.0,4,8.5,2650.0,684990.0,28,1,2999.0
15,"105 Warren Ave N, Seattle, WA 98109",1070.0,2,2.0,Apartment,2017.0,4,8.5,2650.0,684990.0,28,1,3531.0
16,"1050 N 36th St 1050 N 36th St, Seattle, WA 98103",414.0,0,1.0,Apartment,2014.0,5,8.0,2650.0,684990.0,1,0,1400.0
17,"10519 1/2 24th Ave NE, Seattle, WA 98125",745.0,2,1.0,Single Family Home,2014.0,5,5.6,2650.0,684990.0,0,0,1495.0
18,"10713 Roosevelt Way NE, Seattle, WA 98125",1000.0,2,1.0,Apartment,1967.0,4,6.0,2650.0,684990.0,38,1,1850.0
19,"10725 Greenwood Ave N #203 10725 Greenwood Ave N Apt 203, Seattle, WA 98133",1190.0,2,2.0,Apartment,2014.0,4,4.75,2650.0,684990.0,1,0,1899.0
20,"110 12th Ave E 110 12th Ave E, Seattle, WA 98102",781.0,2,2.0,Apartment,2014.0,3,3.33,2650.0,684990.0,1,0,2499.0
21,"1107 1st Ave Apt 1506, Seattle, WA 98101",712.0,1,1.0,Other,2014.0,3,4.0,2650.0,684990.0,0,0,2495.0
22,"1111 East Olive Apartments 1111 E Olive St, Seattle, WA 98122",545.0,1,1.0,Apartment,2018.0,3,3.33,2650.0,684990.0,40,0,2030.0
23,"1120 N 93rd Street 1120 N 93rd St, Seattle, WA 98103",650.0,1,1.0,Apartment,2014.0,3,4.67,2650.0,684990.0,1,0,1545.0
24,"1125 N 85th St, Seattle, WA 98103",1100.0,2,1.0,Single Family Home,2014.0,3,7.67,2650.0,684990.0,0,2,2050.0
25,"11254 Greenwood Ave N #202 11254 Greenwood Ave N Apt 202, Seattle, WA 98133",625.0,1,1.0,Apartment,2014.0,4,4.75,2650.0,684990.0,0,0,1299.0
26,"1126 N 90th St 1126 N 90th St, Seattle, WA 98103",567.0,1,1.0,Apartment,2016.0,3,6.0,2650.0,684990.0,0,0,1495.0
27,"1126 N 90th St 1126 N 90th St, Seattle, WA 98103",610.0,1,1.0,Apartment,2016.0,3,6.0,2650.0,684990.0,0,0,1440.0
28,"1130 N 115th St, Seattle, WA 98133",735.0,1,1.0,Apartment,1987.0,4,4.25,2650.0,684990.0,20,1,1478.0
29,"1130 N 115th St, Seattle, WA 98133",955.0,2,1.0,Apartment,1987.0,4,4.25,2650.0,684990.0,20,1,1739.0
30,"1130 N 115th St, Seattle, WA 98133",1005.0,2,2.0,Apartment,1987.0,4,4.25,2650.0,684990.0,20,1,1919.0
31,"11300 1st Ave NE Apt 122, Seattle, WA 98125",1184.0,2,2.0,Single Family Home,2014.0,5,5.6,2650.0,684990.0,0,0,2150.0
32,"11326 3rd Ave NE Apt 104, Seattle, WA 98125",540.0,1,1.0,Single Family Home,2014.0,5,5.6,2650.0,684990.0,0,2,1495.0
33,"1145 Republican St, Seattle, WA 98109",669.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2548.0
34,"1145 Republican St, Seattle, WA 98109",680.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2626.0
35,"1145 Republican St, Seattle, WA 98109",691.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2865.0
36,"1145 Republican St, Seattle, WA 98109",696.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2588.0
37,"1145 Republican St, Seattle, WA 98109",699.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2445.0
38,"1145 Republican St, Seattle, WA 98109",725.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2713.0
39,"1145 Republican St, Seattle, WA 98109",743.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2911.5
40,"1145 Republican St, Seattle, WA 98109",761.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2700.0
41,"1145 Republican St, Seattle, WA 98109",765.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2693.5
42,"1145 Republican St, Seattle, WA 98109",776.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2715.0
43,"1145 Republican St, Seattle, WA 98109",803.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2666.0
44,"1145 Republican St, Seattle, WA 98109",836.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,2889.0
45,"1145 Republican St, Seattle, WA 98109",951.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3170.0
46,"1145 Republican St, Seattle, WA 98109",991.0,1,1.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3055.0
47,"1145 Republican St, Seattle, WA 98109",1031.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,3814.0
48,"1145 Republican St, Seattle, WA 98109",1046.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,4075.0
49,"1145 Republican St, Seattle, WA 98109",1067.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,4455.0
50,"1145 Republican St, Seattle, WA 98109",1070.0,2,2.0,Apartment,2018.0,3,6.0,2650.0,684990.0,6,0,4428.333333333333
