,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Single Family Home,"905 Cherry St Apt 402, Seattle, WA 98104",,1-bedroom,1.0,505.0,1595.0,5,3.6,2650.0,684990.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/905-Cherry-St-Apt-402_Seattle_WA_98104_M20330-34982
1,,Apartment,"321 Broadway Ave. E. 321 Broadway Ave E, Seattle, WA 98102",1910,1-bedroom,1.0,0.0,1295.0,3,5.33,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/321-Broadway-E_Seattle_WA_98102_M11655-29236
2,,Other,"4231 NE 113th St Unit W, Seattle, WA 98125",,3-bedroom,3.0,2500.0,2295.0,5,5.6,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/4231-NE-113th-St-W_Seattle_WA_98125_M10526-35930
3,The Q Apartments,Apartment,"1321 Queen Anne Ave N, Seattle, WA 98109",1950,2-bedroom,1.0,876.0,2150.0,5,8.0,2650.0,684990.0,"['*Upcoming 24/7 Fitness Center', 'App Based Laundry Facilities', 'Balcony', 'Barbecue Area', 'Barbecue/Grill', 'Bike Storage', 'Bike Storage and Repair Station', 'Breakfast Nook', 'Built-In Bookshelves', 'Business Center', 'Cable Ready', 'Cardio Machines', 'Carpet', 'Cats Allowed', 'City & Water Views (select units)', 'Coffee Bar', 'Composting', 'Concierge', 'Controlled Access', 'Controlled Access Building with Intercom', 'Cozy Wi Fi Lounge', 'Crown Molding', 'Deck', 'Dining Room', 'Dishwasher (select units)', 'Dog Wash Station', 'Dogs Allowed', 'Double Pane Windows', 'Eat-in Kitchen', 'Elevator', 'Elevator', 'Energy Star Certified', 'Fitness Center', 'Free Weights', 'Freezer', 'Gated', 'Granite Countertops', 'Grill', 'Hardwood Floors', 'Heating', 'High Speed Internet Access', 'Intercom', 'Kitchen', 'Laundry Facilities', 'Linen Closet', 'Lounge', 'Maintenance on site', 'Multi Use Room', 'On-Site Management/Maintenance', 'Online Services', 'Oven', 'Package Service', 'Parcel Lockers', 'Parking Garage On Site', 'Patio', 'Pet Washing Station', 'Pet Waste Station', 'Pool', 'Portico Drive Up Entry', 'Property Manager on Site', 'Range', 'Recycling', 'Rooftop Lounge', ""Rooftop Observation Deck BBQ's"", 'Security System', 'Self Serve Coffee Bar', 'Smoke Free', 'Stainless Steel Appliances', 'Storage Space', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Valet Garbage Rooms (*Per Floor)', 'Views', 'Vintage Building', 'Vinyl Flooring', 'Walk-In Closets', 'Weight Machines', 'Wheelchair Accessible (Rooms)', 'Wi-Fi at Pool and Clubhouse']","['Cable or Satellite TV', 'Disability Access', 'Dishwasher', 'Garage', 'Handrails', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1321-Queen-Anne-Ave-N_Seattle_WA_98109_M17610-61498
4,,Single Family Home,"4711 26th Ave SW, Seattle, WA 98106",,4-bedroom,3.0,2460.0,3125.0,5,5.8,2650.0,684990.0,"['Cats Allowed', 'Dogs Allowed']",,https://www.realtor.com/realestateandhomes-detail/4711-26th-Ave-SW_Seattle_WA_98106_M24736-40736
5,,Other,"4548 20th Avenue NE 4548 20th Ave NE, Seattle, WA 98105",,studio,1.0,0.0,800.0,4,8.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/4548-20th-Ave-NE_Seattle_WA_98105_M12037-06498
6,,Other,"4548 20th Avenue NE 4548 20th Ave NE, Seattle, WA 98105",,studio,1.0,0.0,800.0,4,8.0,2650.0,684990.0,,,https://www.realtor.com/realestateandhomes-detail/4548-20th-Ave-NE_Seattle_WA_98105_M12037-06498
7,,Apartment,"16700 31st Ave S, Seatac, WA 98188",,2-bedroom,1.5,,1419.0,5,2.4,2095.0,400000.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/16700-31st-Ave-S_Seatac_WA_98188_M11541-63124
8,,Single Family Home,"16141 Stone Ave N, Shoreline, WA 98133",,4-bedroom,,1800.0,2150.0,6,5.67,2395.0,642500.0,,,https://www.realtor.com/realestateandhomes-detail/16141-Stone-Ave-N_Shoreline_WA_98133_M22215-87383
9,,Apartment,"20810 31st Ln S, Seatac, WA 98198",,2-bedroom,1.5,,1529.0,4,2.75,2095.0,400000.0,,Pets OK,https://www.realtor.com/realestateandhomes-detail/20810-31st-Ln-S_Seatac_WA_98198_M11515-54508
